bar_index,timestamp,close,py_trail_up,py_trail_down,py_eq,py_in_premium,py_in_discount,py_position_pct,ninja_in_premium,ninja_in_discount,match
59,2025-11-11 00:00:00,4126.6,0.0,0.0,0.0,False,False,50.0,False,False,True
60,2025-11-11 00:01:00,4124.7,0.0,0.0,0.0,False,False,50.0,False,False,True
61,2025-11-11 00:02:00,4125.4,0.0,0.0,0.0,False,False,50.0,False,False,True
62,2025-11-11 00:03:00,4123.8,0.0,0.0,0.0,False,False,50.0,False,False,True
63,2025-11-11 00:04:00,4124.4,0.0,0.0,0.0,False,False,50.0,False,False,True
64,2025-11-11 00:05:00,4124.3,0.0,0.0,0.0,False,False,50.0,False,False,True
65,2025-11-11 00:06:00,4123.8,0.0,0.0,0.0,False,False,50.0,False,False,True
66,2025-11-11 00:07:00,4124.3,0.0,0.0,0.0,False,False,50.0,False,False,True
67,2025-11-11 00:08:00,4124.9,0.0,0.0,0.0,False,False,50.0,False,False,True
68,2025-11-11 00:09:00,4124.9,0.0,0.0,0.0,False,False,50.0,False,False,True
69,2025-11-11 00:10:00,4125,0.0,0.0,0.0,False,False,50.0,False,False,True
70,2025-11-11 00:11:00,4125,0.0,0.0,0.0,False,False,50.0,False,False,True
71,2025-11-11 00:12:00,4124.9,0.0,0.0,0.0,False,False,50.0,False,False,True
72,2025-11-11 00:13:00,4126.1,0.0,0.0,0.0,False,False,50.0,False,False,True
73,2025-11-11 00:14:00,4126.6,0.0,0.0,0.0,False,False,50.0,False,False,True
74,2025-11-11 00:15:00,4126.5,0.0,0.0,0.0,False,False,50.0,False,False,True
75,2025-11-11 00:16:00,4128,0.0,0.0,0.0,False,False,50.0,False,False,True
76,2025-11-11 00:17:00,4127.5,0.0,0.0,0.0,False,False,50.0,False,False,True
77,2025-11-11 00:18:00,4127.4,0.0,0.0,0.0,False,False,50.0,False,False,True
78,2025-11-11 00:19:00,4127.6,0.0,0.0,0.0,False,False,50.0,False,False,True
79,2025-11-11 00:20:00,4127,0.0,0.0,0.0,False,False,50.0,False,False,True
80,2025-11-11 00:21:00,4126.9,0.0,0.0,0.0,False,False,50.0,False,False,True
81,2025-11-11 00:22:00,4126.9,0.0,0.0,0.0,False,False,50.0,False,False,True
82,2025-11-11 00:23:00,4126.9,0.0,0.0,0.0,False,False,50.0,False,False,True
83,2025-11-11 00:24:00,4128.7,0.0,0.0,0.0,False,False,50.0,False,False,True
84,2025-11-11 00:25:00,4127.6,0.0,0.0,0.0,False,False,50.0,False,False,True
85,2025-11-11 00:26:00,4128.4,0.0,0.0,0.0,False,False,50.0,False,False,True
86,2025-11-11 00:27:00,4129.8,0.0,0.0,0.0,False,False,50.0,False,False,True
87,2025-11-11 00:28:00,4130.8,0.0,0.0,0.0,False,False,50.0,False,False,True
88,2025-11-11 00:29:00,4130.5,0.0,0.0,0.0,False,False,50.0,False,False,True
89,2025-11-11 00:30:00,4131.2,0.0,0.0,0.0,False,False,50.0,False,False,True
90,2025-11-11 00:31:00,4132.6,0.0,0.0,0.0,False,False,50.0,False,False,True
91,2025-11-11 00:32:00,4132.7,0.0,0.0,0.0,False,False,50.0,False,False,True
92,2025-11-11 00:33:00,4134.3,0.0,0.0,0.0,False,False,50.0,False,False,True
93,2025-11-11 00:34:00,4133.9,0.0,0.0,0.0,False,False,50.0,False,False,True
94,2025-11-11 00:35:00,4133.4,0.0,0.0,0.0,False,False,50.0,False,False,True
95,2025-11-11 00:36:00,4133.5,0.0,0.0,0.0,False,False,50.0,False,False,True
96,2025-11-11 00:37:00,4132.7,0.0,0.0,0.0,False,False,50.0,False,False,True
97,2025-11-11 00:38:00,4134.1,0.0,0.0,0.0,False,False,50.0,False,False,True
98,2025-11-11 00:39:00,4133.7,0.0,0.0,0.0,False,False,50.0,False,False,True
99,2025-11-11 00:40:00,4133.2,0.0,0.0,0.0,False,False,50.0,False,False,True
100,2025-11-11 00:41:00,4132.5,0.0,0.0,0.0,False,False,50.0,False,False,True
101,2025-11-11 00:42:00,4133.2,0.0,0.0,0.0,False,False,50.0,False,False,True
102,2025-11-11 00:43:00,4134.3,0.0,0.0,0.0,False,False,50.0,False,False,True
103,2025-11-11 00:44:00,4134.4,0.0,0.0,0.0,False,False,50.0,False,False,True
104,2025-11-11 00:45:00,4135.7,0.0,0.0,0.0,False,False,50.0,False,False,True
105,2025-11-11 00:46:00,4134.9,0.0,0.0,0.0,False,False,50.0,False,False,True
106,2025-11-11 00:47:00,4134.2,0.0,0.0,0.0,False,False,50.0,False,False,True
107,2025-11-11 00:48:00,4134.9,0.0,0.0,0.0,False,False,50.0,False,False,True
108,2025-11-11 00:49:00,4136.6,0.0,0.0,0.0,False,False,50.0,False,False,True
109,2025-11-11 00:50:00,4136.7,0.0,0.0,0.0,False,False,50.0,False,False,True
110,2025-11-11 00:51:00,4137.6,0.0,0.0,0.0,False,False,50.0,False,False,True
111,2025-11-11 00:52:00,4138.3,0.0,0.0,0.0,False,False,50.0,False,False,True
112,2025-11-11 00:53:00,4137.9,0.0,0.0,0.0,False,False,50.0,False,False,True
113,2025-11-11 00:54:00,4138.8,0.0,0.0,0.0,False,False,50.0,False,False,True
114,2025-11-11 00:55:00,4138.7,0.0,0.0,0.0,False,False,50.0,False,False,True
115,2025-11-11 00:56:00,4139.8,0.0,4123.1,0.0,False,False,50.0,False,False,True
116,2025-11-11 00:57:00,4139.9,0.0,4123.1,0.0,False,False,50.0,False,False,True
117,2025-11-11 00:58:00,4137.8,0.0,4123.1,0.0,False,False,50.0,False,False,True
118,2025-11-11 00:59:00,4137.2,0.0,4123.1,0.0,False,False,50.0,False,False,True
119,2025-11-11 01:00:00,4137.3,0.0,4123.1,0.0,False,False,50.0,False,False,True
120,2025-11-11 01:01:00,4137.8,0.0,4123.1,0.0,False,False,50.0,False,False,True
121,2025-11-11 01:02:00,4139.7,0.0,4123.1,0.0,False,False,50.0,False,False,True
122,2025-11-11 01:03:00,4140.1,0.0,4123.1,0.0,False,False,50.0,False,False,True
123,2025-11-11 01:04:00,4140,0.0,4123.1,0.0,False,False,50.0,False,False,True
124,2025-11-11 01:05:00,4136.4,0.0,4123.1,0.0,False,False,50.0,False,False,True
125,2025-11-11 01:06:00,4136.5,0.0,4123.1,0.0,False,False,50.0,False,False,True
126,2025-11-11 01:07:00,4138.2,0.0,4123.1,0.0,False,False,50.0,False,False,True
127,2025-11-11 01:08:00,4134.8,0.0,4123.1,0.0,False,False,50.0,False,False,True
128,2025-11-11 01:09:00,4135.9,0.0,4123.1,0.0,False,False,50.0,False,False,True
129,2025-11-11 01:10:00,4136.1,0.0,4123.1,0.0,False,False,50.0,False,False,True
130,2025-11-11 01:11:00,4137.1,0.0,4123.1,0.0,False,False,50.0,False,False,True
131,2025-11-11 01:12:00,4136.8,0.0,4123.1,0.0,False,False,50.0,False,False,True
132,2025-11-11 01:13:00,4137.9,0.0,4123.1,0.0,False,False,50.0,False,False,True
133,2025-11-11 01:14:00,4138.6,0.0,4123.1,0.0,False,False,50.0,False,False,True
134,2025-11-11 01:15:00,4138.4,0.0,4123.1,0.0,False,False,50.0,False,False,True
135,2025-11-11 01:16:00,4142,0.0,4123.1,0.0,False,False,50.0,False,False,True
136,2025-11-11 01:17:00,4140.9,0.0,4123.1,0.0,False,False,50.0,False,False,True
137,2025-11-11 01:18:00,4140.7,0.0,4123.1,0.0,False,False,50.0,False,False,True
138,2025-11-11 01:19:00,4137.8,0.0,4123.1,0.0,False,False,50.0,False,False,True
139,2025-11-11 01:20:00,4137.4,0.0,4123.1,0.0,False,False,50.0,False,False,True
140,2025-11-11 01:21:00,4139.3,0.0,4123.1,0.0,False,False,50.0,False,False,True
141,2025-11-11 01:22:00,4138.9,0.0,4123.1,0.0,False,False,50.0,False,False,True
142,2025-11-11 01:23:00,4138.8,0.0,4123.1,0.0,False,False,50.0,False,False,True
143,2025-11-11 01:24:00,4138,0.0,4123.1,0.0,False,False,50.0,False,False,True
144,2025-11-11 01:25:00,4139,0.0,4123.1,0.0,False,False,50.0,False,False,True
145,2025-11-11 01:26:00,4140.4,0.0,4123.1,0.0,False,False,50.0,False,False,True
146,2025-11-11 01:27:00,4141.9,0.0,4123.1,0.0,False,False,50.0,False,False,True
147,2025-11-11 01:28:00,4142.4,0.0,4123.1,0.0,False,False,50.0,False,False,True
148,2025-11-11 01:29:00,4143.1,0.0,4123.1,0.0,False,False,50.0,False,False,True
149,2025-11-11 01:30:00,4143.7,0.0,4123.1,0.0,False,False,50.0,False,False,True
150,2025-11-11 01:31:00,4144.5,0.0,4123.1,0.0,False,False,50.0,False,False,True
151,2025-11-11 01:32:00,4145.7,0.0,4123.1,0.0,False,False,50.0,False,False,True
152,2025-11-11 01:33:00,4146.7,0.0,4123.1,0.0,False,False,50.0,False,False,True
153,2025-11-11 01:34:00,4145.3,0.0,4123.1,0.0,False,False,50.0,False,False,True
154,2025-11-11 01:35:00,4147.3,0.0,4123.1,0.0,False,False,50.0,False,False,True
155,2025-11-11 01:36:00,4146.1,0.0,4123.1,0.0,False,False,50.0,False,False,True
156,2025-11-11 01:37:00,4143.5,0.0,4123.1,0.0,False,False,50.0,False,False,True
157,2025-11-11 01:38:00,4145.2,0.0,4123.1,0.0,False,False,50.0,False,False,True
158,2025-11-11 01:39:00,4144,0.0,4123.1,0.0,False,False,50.0,False,False,True
159,2025-11-11 01:40:00,4145.7,0.0,4123.1,0.0,False,False,50.0,False,False,True
160,2025-11-11 01:41:00,4147,0.0,4123.1,0.0,False,False,50.0,False,False,True
161,2025-11-11 01:42:00,4146.6,0.0,4123.1,0.0,False,False,50.0,False,False,True
162,2025-11-11 01:43:00,4146,0.0,4123.1,0.0,False,False,50.0,False,False,True
163,2025-11-11 01:44:00,4143.2,0.0,4123.1,0.0,False,False,50.0,False,False,True
164,2025-11-11 01:45:00,4141.5,0.0,4123.1,0.0,False,False,50.0,False,False,True
165,2025-11-11 01:46:00,4140.7,0.0,4123.1,0.0,False,False,50.0,False,False,True
166,2025-11-11 01:47:00,4139.2,0.0,4123.1,0.0,False,False,50.0,False,False,True
167,2025-11-11 01:48:00,4139.7,0.0,4123.1,0.0,False,False,50.0,False,False,True
168,2025-11-11 01:49:00,4141.5,0.0,4123.1,0.0,False,False,50.0,False,False,True
169,2025-11-11 01:50:00,4141.2,0.0,4123.1,0.0,False,False,50.0,False,False,True
170,2025-11-11 01:51:00,4141.7,0.0,4123.1,0.0,False,False,50.0,False,False,True
171,2025-11-11 01:52:00,4142.2,0.0,4123.1,0.0,False,False,50.0,False,False,True
172,2025-11-11 01:53:00,4141.4,0.0,4123.1,0.0,False,False,50.0,False,False,True
173,2025-11-11 01:54:00,4141.3,0.0,4123.1,0.0,False,False,50.0,False,False,True
174,2025-11-11 01:55:00,4137.7,0.0,4123.1,0.0,False,False,50.0,False,False,True
175,2025-11-11 01:56:00,4138.3,0.0,4123.1,0.0,False,False,50.0,False,False,True
176,2025-11-11 01:57:00,4139.7,0.0,4123.1,0.0,False,False,50.0,False,False,True
177,2025-11-11 01:58:00,4140.5,0.0,4123.1,0.0,False,False,50.0,False,False,True
178,2025-11-11 01:59:00,4142.6,0.0,4123.1,0.0,False,False,50.0,False,False,True
179,2025-11-11 02:00:00,4142.2,0.0,4123.1,0.0,False,False,50.0,False,False,True
180,2025-11-11 02:01:00,4142.7,0.0,4123.1,0.0,False,False,50.0,False,False,True
181,2025-11-11 02:02:00,4140.6,0.0,4123.1,0.0,False,False,50.0,False,False,True
182,2025-11-11 02:03:00,4138.2,0.0,4123.1,0.0,False,False,50.0,False,False,True
183,2025-11-11 02:04:00,4139.2,0.0,4123.1,0.0,False,False,50.0,False,False,True
184,2025-11-11 02:05:00,4139.2,0.0,4123.1,0.0,False,False,50.0,False,False,True
185,2025-11-11 02:06:00,4138.7,0.0,4123.1,0.0,False,False,50.0,False,False,True
186,2025-11-11 02:07:00,4139.1,0.0,4123.1,0.0,False,False,50.0,False,False,True
187,2025-11-11 02:08:00,4140.2,0.0,4123.1,0.0,False,False,50.0,False,False,True
188,2025-11-11 02:09:00,4140.5,0.0,4123.1,0.0,False,False,50.0,False,False,True
189,2025-11-11 02:10:00,4140.5,0.0,4123.1,0.0,False,False,50.0,False,False,True
190,2025-11-11 02:11:00,4141.1,0.0,4123.1,0.0,False,False,50.0,False,False,True
191,2025-11-11 02:12:00,4140.1,0.0,4123.1,0.0,False,False,50.0,False,False,True
192,2025-11-11 02:13:00,4140.7,0.0,4123.1,0.0,False,False,50.0,False,False,True
193,2025-11-11 02:14:00,4140.9,0.0,4123.1,0.0,False,False,50.0,False,False,True
194,2025-11-11 02:15:00,4141,0.0,4123.1,0.0,False,False,50.0,False,False,True
195,2025-11-11 02:16:00,4139.6,0.0,4123.1,0.0,False,False,50.0,False,False,True
196,2025-11-11 02:17:00,4140.8,0.0,4123.1,0.0,False,False,50.0,False,False,True
